MODZCTA,regulated_tdscores_mode,regulated_loss_mode,regulated_agency_mode
10001,60.60606060606061,56.56565656565657,63.2936507936508
10002,68.05555555555556,50.505050505050505,86.11111111111111
10005,65.27777777777777,57.91245791245791,66.94725028058362
10025,66.41414141414143,52.02020202020202,70.88068181818181
10029,68.75,50.505050505050505,70.56277056277057
10302,62.12121212121212,69.86531986531986,66.85606060606061
10304,69.69696969696969,55.387205387205384,68.65530303030303
10453,68.93939393939394,53.535353535353536,69.8051948051948
10473,67.80303030303031,54.54545454545455,65.07936507936508
11101,58.333333333333336,71.71717171717172,56.89709595959596
11206,67.29797979797979,53.535353535353536,68.74098124098124
11220,66.85606060606061,50.33670033670033,70.72285353535354
11226,68.18181818181819,51.17845117845118,69.55492424242425
11234,68.93939393939394,66.66666666666667,70.71158008658008
11375,68.75,59.5959595959596,68.93939393939395
11420,61.61616161616162,68.01346801346801,75.2665544332211
11433,65.9090909090909,53.535353535353536,68.18181818181819
