regulated_tdscores_corr,regulated_tdscores_p,regulated_loss_corr,regulated_loss_p,regulated_agency_corr,regulated_agency_p,names
0.11789176378457486,1.4703748071784671e-05,0.11659658371802947,1.8261832205076048e-05,-0.031356298671742305,0.250657528918906,alloc_debt_scaled
0.006087557302923336,0.8235604512459036,-0.0704213101050168,0.009808954745061394,0.024175767258588096,0.3758314749043909,alloc_spend_scaled
-0.05375840147001708,0.04879178021613114,0.011078565777139976,0.6849031678715903,0.028853851403911855,0.2904953852186499,alloc_save_scaled
-0.11526821689841207,2.2753964152361418e-05,-0.11238089526217504,3.64020032510772e-05,-0.008305278419032305,0.7609766829476156,alloc_invest_scaled
-0.024670693705715726,0.3666705429035523,-0.006285129311504107,0.81813296977082,0.2068972675315667,1.9728046618861453e-14,age_num_scaled
0.04258141629431296,0.11909817360490825,0.011454740457263713,0.6751493673075628,0.22261138590886492,1.609844154400101e-16,expectation_num_scaled
-0.10164043721916381,0.00019283192030297375,0.013339974804044285,0.6254991276611421,0.1926652583980624,1.1148868526183303e-12,financial_2020_num_scaled
-0.14877786061233914,4.409734395865298e-08,0.01911935255178482,0.48420503544679605,0.09187736993142795,0.0007557622344325623,credit_debt_num_scaled
-0.0538167361242997,0.048799292787125303,-0.10374198642501338,0.00014138831510240388,0.1963714421326861,4.0136252802068494e-13,education_num_scaled
-0.042218085169587125,0.12228351926821696,-0.07408217170647745,0.006646320152580614,0.13474259259123303,7.33690554719581e-07,employment_num_scaled
-0.10164043721916381,0.00019283192030297375,0.013339974804044285,0.6254991276611421,0.1926652583980624,1.1148868526183303e-12,financials_scaled
-0.19086122217860427,1.819789437940354e-12,-0.03445598833577387,0.20732160972209196,0.16533041569836404,1.124468817558617e-09,financial_now_num_scaled
-0.0959623792533936,0.0004332469135793427,-0.06514383930881618,0.01703944014634767,0.1938283064699099,8.108537370914599e-13,financial_change_num_scaled
